URL,Status Code,Content-Type,Parent URL,Input Line,lo
https://www.thinglink.com/card/1605566995493814273,200,text/html;charset=UTF-8,http://library.soton.ac.uk/engineering,79,ThingLink
https://www.thinglink.com/card/1605566995493814273,200,text/html;charset=UTF-8,https://library.soton.ac.uk/business,175,ThingLink
https://www.thinglink.com/card/1605566995493814273,200,text/html;charset=UTF-8,https://library.soton.ac.uk/ecs,268,ThingLink
http://generic.wordpress.soton.ac.uk/researchmatters/2020/10/15/open-access-week-2020-a-day-in-the-life-open-research-development-manager/,503,text/html; charset=UTF-8,https://library.soton.ac.uk/openaccess/week,667,Wordpress
https://generic.wordpress.soton.ac.uk/researchmatters/open-access-week-2020:-a-day-in-the-life-of-our-institutional-repository-manager,200,text/html; charset=UTF-8,https://library.soton.ac.uk/openaccess/week,675,Wordpress
https://generic.wordpress.soton.ac.uk/researchmatters/2021/10/27/ukri-open-access-publishing-from-now-to-april-2022/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/openaccess/week,683,Wordpress
https://generic.wordpress.soton.ac.uk/researchmatters/2021/10/26/open-access-biscuits-which-way-does-the-cookie-crumble/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/openaccess/week,688,Wordpress
http://generic.wordpress.soton.ac.uk/researchmatters/2019/10/22/open-access-week-2019-to-pay-or-not-to-pay/,503,text/html; charset=UTF-8,https://library.soton.ac.uk/openaccess/week,692,Wordpress
https://generic.wordpress.soton.ac.uk/researchmatters/open-access-week-2020-checking-for-compliance,200,text/html; charset=UTF-8,https://library.soton.ac.uk/openaccess/week,705,Wordpress
https://generic.wordpress.soton.ac.uk/researchmatters/2019/10/21/open-access-week-2019-a-very-short-introduction-to-open-access-using-biscuits/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/openaccess/week,709,Wordpress
https://generic.wordpress.soton.ac.uk/researchmatters/2021/10/26/open-access-jargon-buster/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/openaccess/week,711,Wordpress
https://generic.wordpress.soton.ac.uk/researchmatters/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/openaccess/week,713,Wordpress
https://generic.wordpress.soton.ac.uk/researchmatters/2021/10/28/building-equity-in-research-access-theres-a-data-statement-for-that/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/openaccess/week,718,Wordpress
http://generic.wordpress.soton.ac.uk/researchmatters/2019/10/24/open-access-week-2019-our-research-community/,503,text/html; charset=UTF-8,https://library.soton.ac.uk/openaccess/week,721,Wordpress
https://generic.wordpress.soton.ac.uk/researchmatters/2021/11/01/the-wellcome-trust-rights-retention-strategy-rrs-in-action/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/openaccess/week,733,Wordpress
https://generic.wordpress.soton.ac.uk/researchmatters/open-access-week-2020-getting-the-most-from-your-orcid,200,text/html; charset=UTF-8,https://library.soton.ac.uk/openaccess/week,738,Wordpress
https://generic.wordpress.soton.ac.uk/researchmatters/2021/10/29/it-matters-how-we-open-knowledge-elsevier/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/openaccess/week,746,Wordpress
http://generic.wordpress.soton.ac.uk/researchmatters/2019/10/28/forging-new-routes-to-open-scholarship-for-he-and-cultural-heritage-institutions/,503,text/html; charset=UTF-8,https://library.soton.ac.uk/openaccess/week,749,Wordpress
https://generic.wordpress.soton.ac.uk/researchmatters/2021/10/25/open-access-policies-breaking-down-paywalls/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/openaccess/week,751,Wordpress
https://generic.wordpress.soton.ac.uk/researchmatters/open-access-week-2020:-the-importance-of-metadata,200,text/html; charset=UTF-8,https://library.soton.ac.uk/openaccess/week,753,Wordpress
http://generic.wordpress.soton.ac.uk/researchmatters/2019/10/25/open-access-week-2019-working-for-a-common-purpose/,503,text/html; charset=UTF-8,https://library.soton.ac.uk/openaccess/week,783,Wordpress
https://generic.wordpress.soton.ac.uk/researchmatters/2021/10/26/open-access-policies-for-ukri-and-the-wellcome-trust-the-rights-retention-strategy-rss/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/openaccess/week,784,Wordpress
https://generic.wordpress.soton.ac.uk/publishingresearch/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/openaccess/training-for-researchers,316,Wordpress
https://generic.wordpress.soton.ac.uk/researchmethods/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/openaccess/training-for-researchers,381,Wordpress
https://app.widgets.thinglink.com/accessibility/1585247234675441665,200,text/html; charset=utf-8,https://library.soton.ac.uk/openaccess/training-for-researchers,382,ThingLink
https://www.thinglink.com/view/scene/1786016287621645156/accessibility,200,text/html; charset=utf-8,https://library.soton.ac.uk/openaccess/ukri_longform,482,ThingLink
https://generic.wordpress.soton.ac.uk/gettingstarted/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/home,185,Wordpress
https://www.thinglink.com/card/1734893194337845734,200,text/html;charset=UTF-8,https://library.soton.ac.uk/home,211,ThingLink
https://wsalibrary.wordpress.com/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/c.php?g=131315&p=859165,336,Wordpress
https://generic.wordpress.soton.ac.uk/gettingstarted/,200,text/html; charset=UTF-8,http://library.soton.ac.uk/llc,390,Wordpress
https://www.thinglink.com/card/1734893194337845734,200,text/html;charset=UTF-8,http://library.soton.ac.uk/llc,421,ThingLink
https://generic.wordpress.soton.ac.uk/digital-learning/2020/03/31/sources-of-images-to-use-in-online-learning/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/membership,954,Wordpress
https://parkesinstituteblog.wordpress.com/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/parkes,79,Wordpress
https://wsalibrary.wordpress.com/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/artistsbooks,249,Wordpress
https://www.thinglink.com/card/1605566995493814273,200,text/html;charset=UTF-8,https://library.soton.ac.uk/medicine/openathens,423,ThingLink
https://generic.wordpress.soton.ac.uk/gettingstarted/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/lrc,653,Wordpress
https://www.thinglink.com/card/1734893194337845734,200,text/html;charset=UTF-8,https://library.soton.ac.uk/lrc,679,ThingLink
https://generic.wordpress.soton.ac.uk/gettingstarted/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/llc,819,Wordpress
https://www.thinglink.com/card/1734893194337845734,200,text/html;charset=UTF-8,https://library.soton.ac.uk/llc,845,ThingLink
https://guides.soton.ac.uk/open/library/articulate/off-campus-access/story.html,200,text/html,https://library.soton.ac.uk/az.php?a=r,596,Articulate
https://guides.soton.ac.uk/open/library/articulate/databases-guide/story.html,200,text/html,https://library.soton.ac.uk/az.php?a=r,718,Articulate
https://guides.soton.ac.uk/open/library/articulate/subject-support/story.html,200,text/html,https://library.soton.ac.uk/az.php?a=r,168,Articulate
https://katefarley.wordpress.com/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/az.php?a=r,327,Wordpress
https://www.thinglink.com/card/1605566995493814273,200,text/html;charset=UTF-8,https://library.soton.ac.uk/c.php?g=131351,242,ThingLink
https://www.thinglink.com/card/1605566995493814273,200,text/html;charset=UTF-8,https://library.soton.ac.uk/c.php?g=131407,339,ThingLink
https://www.thinglink.com/card/1605566995493814273,200,text/html;charset=UTF-8,https://library.soton.ac.uk/acoustics,512,ThingLink
https://www.thinglink.com/card/1605566995493814273,200,text/html;charset=UTF-8,https://library.soton.ac.uk/politics,603,ThingLink
https://www.thinglink.com/card/1605566995493814273,200,text/html;charset=UTF-8,https://library.soton.ac.uk/film,687,ThingLink
https://www.thinglink.com/card/1605566995493814273,200,text/html;charset=UTF-8,https://library.soton.ac.uk/geography,778,ThingLink
https://www.thinglink.com/card/1605566995493814273,200,text/html;charset=UTF-8,https://library.soton.ac.uk/chemistry,873,ThingLink
https://www.thinglink.com/card/1605566995493814273,200,text/html;charset=UTF-8,https://library.soton.ac.uk/transnational,14,ThingLink
https://www.thinglink.com/card/1605566995493814273,200,text/html;charset=UTF-8,https://library.soton.ac.uk/c.php?g=131406,109,ThingLink
https://www.thinglink.com/card/1605566995493814273,200,text/html;charset=UTF-8,https://library.soton.ac.uk/music,208,ThingLink
https://www.thinglink.com/card/1605566995493814273,200,text/html;charset=UTF-8,https://library.soton.ac.uk/healthsciences,296,ThingLink
https://www.thinglink.com/card/1605566995493814273,200,text/html;charset=UTF-8,https://library.soton.ac.uk/biosciences,448,ThingLink
https://www.thinglink.com/card/1605566995493814273,200,text/html;charset=UTF-8,https://library.soton.ac.uk/applied-linguistics,722,ThingLink
https://www.thinglink.com/card/1605566995493814273,200,text/html;charset=UTF-8,https://library.soton.ac.uk/ageing,806,ThingLink
https://parkesinstituteblog.wordpress.com/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/jewishstudies,895,Wordpress
